Paper ID,Publishable,Blended_Score,Decision_Path,Base_Votes,Confidence,Section_Cov_pct,Citations,Figures,NonPub_Phrases,Composite_Score,Keyword_Variety,Recent_Ref_Ratio,Abstract_Len_Norm,Flags,CI_Lo,CI_Hi
P001,1,0.7068,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.278,0.333,0.0,0.293,FEW_CITES|NO_FIGS|SHORT,,
P002,0,0.1796,BELOW_THRESH,2/6,HIGH,100.0,0,0,0,0.441,0.833,0.0,0.497,FEW_CITES|NO_FIGS,,
P003,0,0.3093,BELOW_THRESH,2/6,LOW⚠,83.3,0,0,0,0.337,0.667,0.0,0.197,FEW_CITES|NO_FIGS,,
P004,1,0.8499,ENSEMBLE,5/6,HIGH,66.7,0,0,0,0.43,1.0,0.0,0.163,FEW_CITES|NO_FIGS,,
P005,1,0.6341,ENSEMBLE,4/6,HIGH,83.3,0,0,0,0.415,0.5,0.0,0.123,FEW_CITES|NO_FIGS,,
P006,0,0.1327,BELOW_THRESH,1/6,HIGH,83.3,0,0,2,0.137,0.667,0.0,0.18,FEW_CITES|NO_FIGS|WEAK_PHRASES,,
P007,1,0.6759,ENSEMBLE,4/6,HIGH,83.3,0,1,0,0.457,0.833,0.0,0.383,FEW_CITES,,
P008,0,0.7414,GATE_BLOCKED,3/6,HIGH,66.7,5,2,0,0.417,0.667,0.0,0.04,,,
P009,1,0.8469,ENSEMBLE,5/6,HIGH,83.3,1,0,0,0.397,1.0,1.0,0.027,FEW_CITES|NO_FIGS,,
P010,1,0.8992,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.62,1.0,0.0,0.137,FEW_CITES|NO_FIGS,,
P011,1,0.802,ENSEMBLE,6/6,HIGH,83.3,0,0,0,0.489,0.667,0.0,0.107,FEW_CITES|NO_FIGS,,
P012,1,0.9537,ENSEMBLE,6/6,HIGH,83.3,12,2,0,0.65,1.0,1.0,0.563,,,
P013,0,0.6981,HARD_VETO,3/6,HIGH,83.3,2,0,0,0.378,1.0,0.0,0.017,FEW_CITES|NO_FIGS|SHORT,,
P014,1,0.7215,ENSEMBLE,5/6,HIGH,66.7,0,0,0,0.356,0.833,0.0,0.16,FEW_CITES|NO_FIGS|SHORT,,
P015,1,0.7832,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.401,0.833,0.0,0.057,FEW_CITES|NO_FIGS,,
P016,0,0.3119,BELOW_THRESH,2/6,LOW⚠,83.3,0,0,1,0.266,0.333,0.0,0.08,FEW_CITES|NO_FIGS|UNCERTAIN,0.1721,0.6976
P017,1,0.9478,ENSEMBLE,6/6,HIGH,100.0,1,1,0,0.563,0.5,0.0,0.053,FEW_CITES,,
P018,1,0.8661,ENSEMBLE,5/6,HIGH,83.3,5,1,0,0.649,0.833,0.0,0.16,,,
P019,1,0.781,ENSEMBLE,5/6,HIGH,83.3,0,0,1,0.454,1.0,0.667,0.177,FEW_CITES|NO_FIGS,,
P020,0,0.3471,BELOW_THRESH,2/6,LOW⚠,83.3,0,0,0,0.423,0.833,0.0,0.047,FEW_CITES|NO_FIGS|UNCERTAIN,0.2276,0.7202
P021,1,0.9012,ENSEMBLE,5/6,HIGH,83.3,0,1,0,0.558,1.0,1.0,0.083,FEW_CITES|SHORT,,
P022,0,0.1396,BELOW_THRESH,1/6,HIGH,83.3,0,0,0,0.327,0.333,0.0,0.23,FEW_CITES|NO_FIGS,,
P023,1,0.8658,ENSEMBLE,5/6,HIGH,83.3,1,6,0,0.695,0.833,0.0,0.47,FEW_CITES,,
P024,1,0.8797,ENSEMBLE,5/6,HIGH,83.3,15,2,0,0.603,1.0,0.0,0.427,,,
P025,1,0.8988,ENSEMBLE,5/6,HIGH,83.3,5,7,3,0.379,1.0,0.0,0.02,WEAK_PHRASES,,
P026,0,0.3069,BELOW_THRESH,2/6,LOW⚠,83.3,0,0,0,0.311,0.5,0.0,0.103,FEW_CITES|NO_FIGS,,
P027,1,0.6945,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.444,0.833,0.5,0.293,FEW_CITES|NO_FIGS,,
P028,1,0.6391,ENSEMBLE,4/6,HIGH,83.3,0,4,2,0.272,0.667,0.0,0.287,FEW_CITES|WEAK_PHRASES,,
P029,1,0.6945,ENSEMBLE,4/6,HIGH,83.3,0,1,1,0.289,0.833,0.0,0.093,FEW_CITES,,
P030,1,0.8451,ENSEMBLE,5/6,HIGH,83.3,0,2,1,0.294,0.5,0.0,0.18,FEW_CITES,,
P031,1,0.7665,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.471,1.0,1.0,0.067,FEW_CITES|NO_FIGS,,
P032,0,0.1006,BELOW_THRESH,1/6,HIGH,83.3,0,0,1,0.37,0.5,0.0,0.383,FEW_CITES|NO_FIGS,,
P033,1,0.862,ENSEMBLE,5/6,HIGH,83.3,0,2,0,0.418,0.833,0.0,0.097,FEW_CITES,,
P034,1,0.911,ENSEMBLE,5/6,HIGH,83.3,0,5,0,0.708,1.0,0.0,0.173,FEW_CITES,,
P035,0,0.3283,BELOW_THRESH,2/6,LOW⚠,100.0,0,0,0,0.477,0.667,0.0,0.173,FEW_CITES|NO_FIGS|UNCERTAIN,0.1979,0.6885
P036,0,0.0825,BELOW_THRESH,1/6,HIGH,83.3,0,0,0,0.348,0.667,0.0,0.28,FEW_CITES|NO_FIGS,,
P037,1,0.7632,ENSEMBLE,4/6,HIGH,83.3,0,1,0,0.44,1.0,1.0,0.2,FEW_CITES,,
P038,0,0.4877,GATE_BLOCKED,3/6,MED,83.3,0,0,1,0.483,1.0,0.0,0.647,FEW_CITES|NO_FIGS,,
P039,0,0.1662,BELOW_THRESH,1/6,HIGH,83.3,0,0,1,0.326,0.833,0.0,0.047,FEW_CITES|NO_FIGS,,
P040,0,0.5065,GATE_BLOCKED,3/6,MED,66.7,0,0,0,0.254,0.833,0.0,0.03,FEW_CITES|NO_FIGS|SHORT,,
P041,0,0.2531,BELOW_THRESH,2/6,MED,83.3,0,0,0,0.427,1.0,0.0,0.913,FEW_CITES|NO_FIGS,,
P042,1,0.8359,ENSEMBLE,5/6,HIGH,83.3,0,4,0,0.62,1.0,0.0,0.147,FEW_CITES|SHORT,,
P043,0,0.0996,BELOW_THRESH,1/6,HIGH,100.0,0,0,1,0.34,0.5,0.0,0.98,FEW_CITES|NO_FIGS,,
P044,1,0.721,ENSEMBLE,4/6,HIGH,83.3,0,0,0,0.353,0.667,1.0,0.053,FEW_CITES|NO_FIGS,,
P045,1,0.9042,ENSEMBLE,5/6,HIGH,66.7,0,2,0,0.506,0.833,0.0,0.183,FEW_CITES,,
P046,1,0.913,ENSEMBLE,5/6,HIGH,83.3,2,7,2,0.358,0.833,0.0,0.01,FEW_CITES|WEAK_PHRASES,,
P047,0,0.1758,BELOW_THRESH,2/6,HIGH,83.3,0,0,0,0.417,0.667,0.0,0.333,FEW_CITES|NO_FIGS,,
