Paper ID,Publishable,Blended_Score,BiLSTM_Score,SciBERT_Score,Classical_Score,Decision_Path,Votes,Confidence,Citations,Figures,Composite_Score,Flags
P001,1,0.5533,0.5391,0.4056,0.7827,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.278,FEW_CITES|NO_FIGS|SHORT
P002,0,0.4438,0.5291,0.5969,0.0929,BELOW_THRESH,2/3,LOW⚠,0,0,0.441,FEW_CITES|NO_FIGS
P003,0,0.4325,0.5356,0.4505,0.2423,BELOW_THRESH,1/3,LOW⚠,0,0,0.337,FEW_CITES|NO_FIGS
P004,1,0.5661,0.5422,0.3762,0.8703,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.43,FEW_CITES|NO_FIGS
P005,1,0.5337,0.54,0.3966,0.7156,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.415,FEW_CITES|NO_FIGS
P006,0,0.4378,0.5342,0.5318,0.1521,BELOW_THRESH,2/3,LOW⚠,0,0,0.137,FEW_CITES|NO_FIGS|WEAK_PHRASES
P007,1,0.5027,0.5402,0.3822,0.6116,DL_ENSEMBLE,2/3,LOW⚠,0,1,0.457,FEW_CITES
P008,1,0.4987,0.5364,0.4039,0.5714,DL_ENSEMBLE,2/3,LOW⚠,5,2,0.417,
P009,1,0.574,0.54,0.4323,0.8269,DL_ENSEMBLE,2/3,MED,1,0,0.397,FEW_CITES|NO_FIGS
P010,1,0.5933,0.5418,0.4254,0.9109,DL_ENSEMBLE,2/3,MED,0,0,0.62,FEW_CITES|NO_FIGS
P011,1,0.5747,0.5413,0.4201,0.8446,DL_ENSEMBLE,2/3,MED,0,0,0.489,FEW_CITES|NO_FIGS
P012,1,0.5858,0.5439,0.4152,0.8917,DL_ENSEMBLE,2/3,MED,12,2,0.65,
P013,0,0.4989,0.541,0.4111,0.5542,HARD_VETO,2/3,LOW⚠,2,0,0.378,FEW_CITES|NO_FIGS|SHORT
P014,1,0.5228,0.5441,0.3783,0.6909,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.356,FEW_CITES|NO_FIGS|SHORT
P015,1,0.5535,0.5384,0.4044,0.7864,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.401,FEW_CITES|NO_FIGS
P016,0,0.4459,0.5382,0.5258,0.1865,BELOW_THRESH,2/3,LOW⚠,0,0,0.266,FEW_CITES|NO_FIGS
P017,1,0.5814,0.5428,0.3906,0.9104,DL_ENSEMBLE,2/3,MED,1,1,0.563,FEW_CITES
P018,1,0.5777,0.5438,0.4005,0.8801,DL_ENSEMBLE,2/3,MED,5,1,0.649,
P019,1,0.5786,0.5391,0.4207,0.8628,DL_ENSEMBLE,2/3,MED,0,0,0.454,FEW_CITES|NO_FIGS
P020,0,0.449,0.5395,0.4633,0.2843,BELOW_THRESH,1/3,LOW⚠,0,0,0.423,FEW_CITES|NO_FIGS
P021,1,0.5739,0.5441,0.3852,0.8858,DL_ENSEMBLE,2/3,MED,0,1,0.558,FEW_CITES|SHORT
P022,0,0.4418,0.5371,0.522,0.1772,BELOW_THRESH,2/3,LOW⚠,0,0,0.327,FEW_CITES|NO_FIGS
P023,1,0.5946,0.5418,0.4426,0.8919,DL_ENSEMBLE,2/3,MED,1,6,0.695,FEW_CITES
P024,1,0.513,0.5369,0.3817,0.6586,DL_ENSEMBLE,2/3,LOW⚠,15,2,0.603,
P025,1,0.5851,0.5374,0.4207,0.8916,DL_ENSEMBLE,2/3,MED,5,7,0.379,WEAK_PHRASES
P026,0,0.4657,0.5372,0.5386,0.2491,BELOW_THRESH,2/3,LOW⚠,0,0,0.311,FEW_CITES|NO_FIGS
P027,1,0.5413,0.5392,0.426,0.706,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.444,FEW_CITES|NO_FIGS
P028,1,0.5628,0.5369,0.4093,0.8194,DL_ENSEMBLE,2/3,LOW⚠,0,4,0.272,FEW_CITES|WEAK_PHRASES
P029,1,0.5268,0.5384,0.4372,0.6336,DL_ENSEMBLE,2/3,LOW⚠,0,1,0.289,FEW_CITES
P030,1,0.567,0.5447,0.4166,0.8131,DL_ENSEMBLE,2/3,LOW⚠,0,2,0.294,FEW_CITES
P031,1,0.5831,0.5386,0.4403,0.8544,DL_ENSEMBLE,2/3,MED,0,0,0.471,FEW_CITES|NO_FIGS
P032,0,0.4371,0.5319,0.5832,0.0809,BELOW_THRESH,2/3,LOW⚠,0,0,0.37,FEW_CITES|NO_FIGS
P033,1,0.5665,0.5419,0.3762,0.8725,DL_ENSEMBLE,2/3,LOW⚠,0,2,0.418,FEW_CITES
P034,1,0.5802,0.5432,0.4008,0.8905,DL_ENSEMBLE,2/3,MED,0,5,0.708,FEW_CITES
P035,1,0.4873,0.5354,0.5406,0.3359,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.477,FEW_CITES|NO_FIGS
P036,0,0.437,0.5312,0.579,0.0873,BELOW_THRESH,2/3,LOW⚠,0,0,0.348,FEW_CITES|NO_FIGS
P037,1,0.5277,0.5409,0.3778,0.7164,DL_ENSEMBLE,2/3,LOW⚠,0,1,0.44,FEW_CITES
P038,0,0.4575,0.5354,0.4893,0.2883,BELOW_THRESH,1/3,LOW⚠,0,0,0.483,FEW_CITES|NO_FIGS
P039,0,0.4621,0.535,0.5759,0.1859,BELOW_THRESH,2/3,LOW⚠,0,0,0.326,FEW_CITES|NO_FIGS
P040,1,0.515,0.5392,0.4068,0.6277,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.254,FEW_CITES|NO_FIGS|SHORT
P041,0,0.4552,0.5355,0.5459,0.2,BELOW_THRESH,2/3,LOW⚠,0,0,0.427,FEW_CITES|NO_FIGS
P042,1,0.5438,0.5417,0.3816,0.7744,DL_ENSEMBLE,2/3,LOW⚠,0,4,0.62,FEW_CITES|SHORT
P043,0,0.4414,0.5264,0.5706,0.1247,BELOW_THRESH,2/3,LOW⚠,0,0,0.34,FEW_CITES|NO_FIGS
P044,1,0.5553,0.5401,0.4107,0.782,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.353,FEW_CITES|NO_FIGS
P045,1,0.5961,0.5391,0.4406,0.9051,DL_ENSEMBLE,2/3,MED,0,2,0.506,FEW_CITES
P046,1,0.5758,0.5416,0.3813,0.903,DL_ENSEMBLE,2/3,MED,2,7,0.358,FEW_CITES|WEAK_PHRASES
P047,0,0.4399,0.529,0.5977,0.0764,BELOW_THRESH,2/3,LOW⚠,0,0,0.417,FEW_CITES|NO_FIGS
P048,0,0.4395,0.5314,0.5758,0.1015,BELOW_THRESH,2/3,LOW⚠,0,0,0.343,FEW_CITES|NO_FIGS
P049,1,0.5679,0.541,0.3911,0.8585,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.532,FEW_CITES|NO_FIGS
P050,1,0.5591,0.5431,0.3901,0.8213,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.506,FEW_CITES|NO_FIGS
P051,1,0.5263,0.5439,0.373,0.7128,DL_ENSEMBLE,2/3,LOW⚠,0,1,0.468,FEW_CITES
P052,1,0.5708,0.5407,0.4229,0.8259,DL_ENSEMBLE,2/3,MED,0,0,0.53,FEW_CITES|NO_FIGS
P053,0,0.4338,0.529,0.5774,0.0803,HARD_VETO,2/3,LOW⚠,0,0,0.193,FEW_CITES|NO_FIGS|WEAK_PHRASES
P054,1,0.5813,0.5409,0.3896,0.9143,DL_ENSEMBLE,2/3,MED,0,2,0.572,FEW_CITES
P055,0,0.4821,0.5396,0.4333,0.4582,GATE_BLOCKED,1/3,LOW⚠,0,0,0.268,FEW_CITES|NO_FIGS
P056,0,0.4413,0.5311,0.5652,0.1243,BELOW_THRESH,2/3,LOW⚠,0,0,0.267,FEW_CITES|NO_FIGS
P057,0,0.4927,0.5396,0.4505,0.4768,GATE_BLOCKED,1/3,LOW⚠,0,1,0.103,FEW_CITES|SHORT
P058,1,0.5901,0.5418,0.4195,0.9064,DL_ENSEMBLE,2/3,MED,2,0,0.467,FEW_CITES|NO_FIGS
P059,1,0.5793,0.5419,0.3951,0.897,DL_ENSEMBLE,2/3,MED,0,0,0.358,FEW_CITES|NO_FIGS
P060,1,0.5759,0.5428,0.39,0.8891,DL_ENSEMBLE,2/3,MED,4,6,0.657,FEW_CITES
P061,1,0.5929,0.5452,0.4181,0.914,DL_ENSEMBLE,2/3,MED,0,11,0.629,FEW_CITES
P062,1,0.5724,0.5411,0.3914,0.8758,DL_ENSEMBLE,2/3,MED,7,0,0.64,NO_FIGS
P063,0,0.4661,0.5369,0.3798,0.4735,HARD_VETO,1/3,LOW⚠,0,0,0.251,FEW_CITES|NO_FIGS|SHORT
P064,1,0.5169,0.5387,0.4042,0.6399,DL_ENSEMBLE,2/3,LOW⚠,5,0,0.57,NO_FIGS
P065,1,0.5476,0.5378,0.4832,0.6534,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.207,FEW_CITES|NO_FIGS
P066,1,0.5765,0.5404,0.3804,0.9088,DL_ENSEMBLE,2/3,MED,7,1,0.556,
P067,1,0.5432,0.5408,0.4064,0.7387,DL_ENSEMBLE,2/3,LOW⚠,4,1,0.29,FEW_CITES
P068,1,0.5658,0.5409,0.4087,0.8255,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.581,FEW_CITES|NO_FIGS
P069,0,0.4779,0.5317,0.5833,0.2443,BELOW_THRESH,2/3,LOW⚠,0,0,0.509,FEW_CITES|NO_FIGS
P070,0,0.4557,0.5291,0.5623,0.189,BELOW_THRESH,2/3,LOW⚠,0,0,0.268,FEW_CITES|NO_FIGS
P071,1,0.5284,0.541,0.3838,0.7108,DL_ENSEMBLE,2/3,LOW⚠,0,2,0.39,FEW_CITES
P072,0,0.4999,0.5394,0.3843,0.5985,HARD_VETO,2/3,LOW⚠,0,0,0.127,FEW_CITES|NO_FIGS|SHORT
P073,0,0.4344,0.5309,0.5806,0.0754,BELOW_THRESH,2/3,LOW⚠,0,0,0.308,FEW_CITES|NO_FIGS
P074,1,0.5369,0.5418,0.383,0.7444,DL_ENSEMBLE,2/3,LOW⚠,0,1,0.493,FEW_CITES|SHORT
P075,1,0.5632,0.5405,0.3932,0.8375,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.47,FEW_CITES|NO_FIGS
P076,0,0.441,0.5349,0.4546,0.2717,BELOW_THRESH,1/3,LOW⚠,0,0,0.442,FEW_CITES|NO_FIGS
P077,0,0.4556,0.5288,0.5623,0.189,BELOW_THRESH,2/3,LOW⚠,0,0,0.268,FEW_CITES|NO_FIGS
P078,0,0.4305,0.5337,0.4867,0.1867,BELOW_THRESH,1/3,LOW⚠,0,0,0.358,FEW_CITES|NO_FIGS
P079,0,0.4937,0.5371,0.3949,0.5628,HARD_VETO,2/3,LOW⚠,0,0,0.109,LOW_STRUCT|FEW_CITES|NO_FIGS|SHORT
P080,1,0.5317,0.5382,0.3902,0.7196,DL_ENSEMBLE,2/3,LOW⚠,0,11,0.466,FEW_CITES
P081,0,0.4297,0.5334,0.4946,0.1728,BELOW_THRESH,1/3,LOW⚠,0,0,0.478,FEW_CITES|NO_FIGS
P082,1,0.5593,0.5427,0.3819,0.8344,DL_ENSEMBLE,2/3,LOW⚠,0,1,0.362,FEW_CITES|SHORT
P083,1,0.5057,0.5377,0.3923,0.6135,DL_ENSEMBLE,2/3,LOW⚠,0,1,0.232,FEW_CITES|WEAK_PHRASES
P084,1,0.5672,0.5415,0.3996,0.8429,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.267,FEW_CITES|NO_FIGS
P085,1,0.5519,0.5418,0.3822,0.8059,DL_ENSEMBLE,2/3,LOW⚠,0,4,0.513,FEW_CITES
P086,0,0.4415,0.5325,0.5969,0.0784,BELOW_THRESH,2/3,LOW⚠,0,0,0.424,FEW_CITES|NO_FIGS
P087,1,0.5667,0.5422,0.3889,0.8549,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.374,FEW_CITES|NO_FIGS
P088,1,0.5795,0.5418,0.42,0.8629,DL_ENSEMBLE,2/3,MED,5,15,0.699,
P089,1,0.5732,0.5419,0.3932,0.8753,DL_ENSEMBLE,2/3,MED,2,0,0.402,FEW_CITES|NO_FIGS
P090,1,0.5761,0.541,0.3976,0.882,DL_ENSEMBLE,2/3,MED,0,0,0.571,FEW_CITES|NO_FIGS
P091,1,0.5305,0.5384,0.3936,0.7093,DL_ENSEMBLE,2/3,LOW⚠,0,1,0.446,FEW_CITES
P092,1,0.5355,0.5398,0.3963,0.7234,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.428,FEW_CITES|NO_FIGS
P093,1,0.5566,0.5421,0.407,0.7894,DL_ENSEMBLE,2/3,LOW⚠,2,1,0.384,FEW_CITES
P094,0,0.4348,0.5317,0.571,0.0891,BELOW_THRESH,2/3,LOW⚠,0,0,0.228,FEW_CITES|NO_FIGS
P095,1,0.6081,0.5418,0.4658,0.9133,DL_ENSEMBLE,2/3,MED,2,4,0.69,FEW_CITES
P096,0,0.4336,0.531,0.5747,0.0801,BELOW_THRESH,2/3,LOW⚠,0,0,0.357,FEW_CITES|NO_FIGS
P097,0,0.4312,0.5312,0.5586,0.0927,BELOW_THRESH,2/3,LOW⚠,0,0,0.332,FEW_CITES|NO_FIGS
P098,0,0.4335,0.5321,0.5251,0.1476,BELOW_THRESH,2/3,LOW⚠,0,0,0.356,FEW_CITES|NO_FIGS
P099,1,0.5707,0.5431,0.3887,0.8695,DL_ENSEMBLE,2/3,MED,0,0,0.469,FEW_CITES|NO_FIGS
P100,0,0.4509,0.534,0.5998,0.1098,BELOW_THRESH,2/3,LOW⚠,0,0,0.465,FEW_CITES|NO_FIGS
P101,1,0.5102,0.5395,0.3913,0.6296,DL_ENSEMBLE,2/3,LOW⚠,0,2,0.299,FEW_CITES
P102,1,0.566,0.5433,0.3773,0.8667,DL_ENSEMBLE,2/3,LOW⚠,0,16,0.589,FEW_CITES
P103,1,0.5244,0.5383,0.3948,0.6838,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.37,FEW_CITES|NO_FIGS
P104,1,0.5509,0.5406,0.4134,0.7598,DL_ENSEMBLE,2/3,LOW⚠,1,0,0.573,FEW_CITES|NO_FIGS
P105,0,0.4372,0.5313,0.5876,0.076,BELOW_THRESH,2/3,LOW⚠,0,0,0.399,FEW_CITES|NO_FIGS
P106,0,0.4533,0.5362,0.5047,0.2488,BELOW_THRESH,2/3,LOW⚠,0,0,0.327,FEW_CITES|NO_FIGS
P107,0,0.4429,0.5388,0.5091,0.1968,BELOW_THRESH,2/3,LOW⚠,0,0,0.555,FEW_CITES|NO_FIGS
P108,0,0.4876,0.5379,0.4132,0.5113,HARD_VETO,2/3,LOW⚠,0,0,0.218,FEW_CITES|NO_FIGS|SHORT
P109,1,0.5717,0.5436,0.3987,0.859,DL_ENSEMBLE,2/3,MED,0,0,0.37,FEW_CITES|NO_FIGS
P110,0,0.4782,0.5406,0.3891,0.5032,BELOW_THRESH,2/3,LOW⚠,0,0,0.324,FEW_CITES|NO_FIGS
P111,1,0.5824,0.5418,0.411,0.8872,DL_ENSEMBLE,2/3,MED,2,36,0.552,FEW_CITES
P112,1,0.5527,0.5425,0.3947,0.7901,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.387,FEW_CITES|NO_FIGS
P113,1,0.5328,0.5395,0.3886,0.7239,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.338,FEW_CITES|NO_FIGS
P114,1,0.5016,0.5348,0.4574,0.5102,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.246,FEW_CITES|NO_FIGS
P115,1,0.576,0.5455,0.4047,0.8644,DL_ENSEMBLE,2/3,MED,24,7,0.702,
