Paper ID,Publishable,Conference,Rationale
P001,0,na,na
P002,0,na,na
P003,0,na,na
P004,1,KDD,"Classified as KDD (29% ensemble confidence, LOW). Semantic similarity to KDD benchmark paper 'R013' (cosine=0.47). Key discriminative terms: training, features, classification, data. Secondary match: TMLR (27%)."
P005,0,na,na
P006,0,na,na
P007,0,na,na
P008,1,TMLR,"Classified as TMLR (28% ensemble confidence, LOW). Semantic similarity to TMLR benchmark paper 'R008' (cosine=0.55). Key discriminative terms: model, context, research, models. Secondary match: KDD (28%)."
P009,1,KDD,"Classified as KDD (36% ensemble confidence, LOW). Semantic similarity to KDD benchmark paper 'R013' (cosine=0.42). Key discriminative terms: models, model, learning, methods. Secondary match: TMLR (27%)."
P010,1,KDD,"Classified as KDD (39% ensemble confidence, LOW). Semantic similarity to KDD benchmark paper 'R011' (cosine=0.51). Key discriminative terms: user, model, learning, performance. Secondary match: TMLR (28%)."
P011,0,na,na
P012,1,KDD,"Classified as KDD (30% ensemble confidence, LOW). Semantic similarity to KDD benchmark paper 'R013' (cosine=0.34). Key discriminative terms: embedding, parameters, loss, training. Secondary match: TMLR (29%)."
P013,1,KDD,"Classified as KDD (25% ensemble confidence, LOW). Semantic similarity to KDD benchmark paper 'R013' (cosine=0.48). Key discriminative terms: signal, model, data, used. Secondary match: EMNLP (23%)."
P014,1,KDD,"Classified as KDD (30% ensemble confidence, LOW). Semantic similarity to KDD benchmark paper 'R015' (cosine=0.42). Key discriminative terms: representations, network, layer, dataset. Secondary match: TMLR (27%)."
P015,0,na,na
P016,0,na,na
P017,1,KDD,"Classified as KDD (38% ensemble confidence, LOW). Semantic similarity to KDD benchmark paper 'R006' (cosine=0.50). Key discriminative terms: time, based, using, popularity. Secondary match: EMNLP (21%)."
P018,1,TMLR,"Classified as TMLR (27% ensemble confidence, LOW). Semantic similarity to TMLR benchmark paper 'R014' (cosine=0.44). Key discriminative terms: loss, solution, adaptive, time. Secondary match: KDD (26%)."
