Paper ID,Publishable,Confidence,Rationale,Key Issues,Strengths
P001,0,low,Could not evaluate paper.,Evaluation failed after retries,
P002,0,low,Could not evaluate paper.,Evaluation failed after retries,
P003,0,low,Could not evaluate paper.,Evaluation failed after retries,
P004,0,low,Could not evaluate paper.,Evaluation failed after retries,
P005,0,low,Could not evaluate paper.,Evaluation failed after retries,
P006,0,low,Could not evaluate paper.,Evaluation failed after retries,
P007,0,low,Could not evaluate paper.,Evaluation failed after retries,
P008,0,low,Could not evaluate paper.,Evaluation failed after retries,
P009,0,low,Could not evaluate paper.,Evaluation failed after retries,
P010,0,low,Could not evaluate paper.,Evaluation failed after retries,
P011,0,low,Could not evaluate paper.,Evaluation failed after retries,
P012,0,low,Could not evaluate paper.,Evaluation failed after retries,
P013,0,low,Could not evaluate paper.,Evaluation failed after retries,
P014,0,low,Could not evaluate paper.,Evaluation failed after retries,
P015,0,low,Could not evaluate paper.,Evaluation failed after retries,
P016,0,low,Could not evaluate paper.,Evaluation failed after retries,
P017,0,low,Could not evaluate paper.,Evaluation failed after retries,
P018,0,low,Could not evaluate paper.,Evaluation failed after retries,
P019,0,low,Could not evaluate paper.,Evaluation failed after retries,
P020,0,low,Could not evaluate paper.,Evaluation failed after retries,
P021,0,low,Could not evaluate paper.,Evaluation failed after retries,
P022,0,low,Could not evaluate paper.,Evaluation failed after retries,
P023,0,low,Could not evaluate paper.,Evaluation failed after retries,
P024,0,low,Could not evaluate paper.,Evaluation failed after retries,
P025,0,low,Could not evaluate paper.,Evaluation failed after retries,
P026,0,low,Could not evaluate paper.,Evaluation failed after retries,
P027,0,low,Could not evaluate paper.,Evaluation failed after retries,
P028,0,low,Could not evaluate paper.,Evaluation failed after retries,
P029,0,low,Could not evaluate paper.,Evaluation failed after retries,
P030,0,low,Could not evaluate paper.,Evaluation failed after retries,
P031,0,low,Could not evaluate paper.,Evaluation failed after retries,
P032,0,low,Could not evaluate paper.,Evaluation failed after retries,
P033,0,low,Could not evaluate paper.,Evaluation failed after retries,
P034,0,low,Could not evaluate paper.,Evaluation failed after retries,
P035,0,low,Could not evaluate paper.,Evaluation failed after retries,
P036,0,low,Could not evaluate paper.,Evaluation failed after retries,
P037,0,low,Could not evaluate paper.,Evaluation failed after retries,
P038,0,low,Could not evaluate paper.,Evaluation failed after retries,
P039,0,low,Could not evaluate paper.,Evaluation failed after retries,
P040,0,low,Could not evaluate paper.,Evaluation failed after retries,
P041,0,low,Could not evaluate paper.,Evaluation failed after retries,
P042,0,low,Could not evaluate paper.,Evaluation failed after retries,
P043,0,low,Could not evaluate paper.,Evaluation failed after retries,
P044,0,low,Could not evaluate paper.,Evaluation failed after retries,
P045,0,low,Could not evaluate paper.,Evaluation failed after retries,
P046,0,low,Could not evaluate paper.,Evaluation failed after retries,
P047,0,low,Could not evaluate paper.,Evaluation failed after retries,
P048,0,low,Could not evaluate paper.,Evaluation failed after retries,
P049,0,low,Could not evaluate paper.,Evaluation failed after retries,
P050,0,low,Could not evaluate paper.,Evaluation failed after retries,
P051,0,low,Could not evaluate paper.,Evaluation failed after retries,
P052,0,low,Could not evaluate paper.,Evaluation failed after retries,
P053,0,low,Could not evaluate paper.,Evaluation failed after retries,
P054,0,low,Could not evaluate paper.,Evaluation failed after retries,
P055,0,low,Could not evaluate paper.,Evaluation failed after retries,
P056,0,low,Could not evaluate paper.,Evaluation failed after retries,
P057,0,low,Could not evaluate paper.,Evaluation failed after retries,
P058,0,low,Could not evaluate paper.,Evaluation failed after retries,
P059,0,low,Could not evaluate paper.,Evaluation failed after retries,
P060,0,low,Could not evaluate paper.,Evaluation failed after retries,
P061,0,low,Could not evaluate paper.,Evaluation failed after retries,
P062,0,low,Could not evaluate paper.,Evaluation failed after retries,
P063,0,low,Could not evaluate paper.,Evaluation failed after retries,
P064,0,low,Could not evaluate paper.,Evaluation failed after retries,
P065,0,low,Could not evaluate paper.,Evaluation failed after retries,
P066,0,low,Could not evaluate paper.,Evaluation failed after retries,
P067,0,low,Could not evaluate paper.,Evaluation failed after retries,
P068,0,low,Could not evaluate paper.,Evaluation failed after retries,
P069,0,low,Could not evaluate paper.,Evaluation failed after retries,
P070,0,low,Could not evaluate paper.,Evaluation failed after retries,
P071,0,low,Could not evaluate paper.,Evaluation failed after retries,
P072,0,low,Could not evaluate paper.,Evaluation failed after retries,
P073,0,low,Could not evaluate paper.,Evaluation failed after retries,
P074,0,low,Could not evaluate paper.,Evaluation failed after retries,
P075,0,low,Could not evaluate paper.,Evaluation failed after retries,
P076,0,low,Could not evaluate paper.,Evaluation failed after retries,
P077,0,low,Could not evaluate paper.,Evaluation failed after retries,
P078,0,low,Could not evaluate paper.,Evaluation failed after retries,
P079,0,low,Could not evaluate paper.,Evaluation failed after retries,
P080,0,low,Could not evaluate paper.,Evaluation failed after retries,
P081,0,low,Could not evaluate paper.,Evaluation failed after retries,
P082,0,low,Could not evaluate paper.,Evaluation failed after retries,
P083,0,low,Could not evaluate paper.,Evaluation failed after retries,
P084,0,low,Could not evaluate paper.,Evaluation failed after retries,
P085,0,low,Could not evaluate paper.,Evaluation failed after retries,
P086,0,low,Could not evaluate paper.,Evaluation failed after retries,
P087,0,low,Could not evaluate paper.,Evaluation failed after retries,
P088,0,low,Could not evaluate paper.,Evaluation failed after retries,
P089,0,low,Could not evaluate paper.,Evaluation failed after retries,
P090,0,low,Could not evaluate paper.,Evaluation failed after retries,
P091,0,low,Could not evaluate paper.,Evaluation failed after retries,
P092,0,low,Could not evaluate paper.,Evaluation failed after retries,
P093,0,low,Could not evaluate paper.,Evaluation failed after retries,
P094,0,low,Could not evaluate paper.,Evaluation failed after retries,
P095,0,low,Could not evaluate paper.,Evaluation failed after retries,
P096,0,low,Could not evaluate paper.,Evaluation failed after retries,
